place,kde:amenity_hospital,kde:amenity_place_of_worship,kde:amenity_police,kde:leisure_*,kde:tourism_*,kde:shop_*,kde:highway_bus_stop,kde:highway_residential,kde:highway_primary
819,4.703317003992421,4.051388787562674,4.138765155860455,3.588868572397871,3.1083518897776807,3.784113908642528,4.081294783760523,4.102379527669569,3.502782516731912
820,5.018996110288493,4.096839982474089,4.20157403772636,3.77394366868481,3.247861714456403,3.8801408723570248,4.150377518710933,4.117077735237757,3.566086485700792
849,4.250825632269974,3.90216208038623,3.938461159237207,3.3195411230570073,2.936596445466013,3.614693746632497,3.8727253200941867,3.723501363218322,3.380463248799492
850,4.527529004003995,3.96274900844017,4.029050895202026,3.50365832113814,3.0872429940382107,3.711997382108219,3.9574882819504253,3.7916997501838114,3.4442344648153522
851,4.815164419095076,4.01132355107012,4.099165804353408,3.693735011685016,3.234630378600049,3.803645050273836,4.026370178401011,3.867235988796624,3.505272658425536
881,4.2418871826112206,3.8719321458816225,3.900281880613726,3.418125732497307,3.0627581359302356,3.629696107084129,3.8249799324996303,3.4319607951587603,3.3848016225509596
760,5.113294118438674,4.299977710838068,4.445113387957491,4.225488749468971,3.4963169591039636,4.151289448931784,4.423099384127305,4.194987940590465,3.776459569710301
790,4.985414927261454,4.215200708085559,4.341884612104398,4.022637515843977,3.3822576546867316,4.030123928021553,4.310761655970005,4.202782441160798,3.6805285189679466
791,5.241356638703293,4.22659595545719,4.387848662057035,4.163596425284011,3.488625322715527,4.098474412650745,4.333876024092454,4.169006197455776,3.72693315137915
792,5.540371171492099,4.192343553174512,4.415575065624701,4.2758700820612106,3.576937243053975,4.135596339110306,4.331629797702627,4.116558783732723,3.75352791258571
821,5.109175812961276,4.135663222005444,4.267509925355482,3.952131348515943,3.3794891734580803,3.968260390642886,4.204450477689097,4.101856912606548,3.624408407204273
822,5.322884175628648,4.150993638145236,4.327421961033057,4.111175454455781,3.4958109482803588,4.0332693955038295,4.236223341337947,4.085964757109599,3.6740703300202995
823,5.5060016727945005,4.134266073196949,4.339379667766929,4.23985720115869,3.5858993188126655,4.066535576505689,4.236032747139683,4.0735448447324,3.7009306771135844
852,5.1230456562645745,4.052296548438338,4.165347133443083,3.877214832073969,3.3779706927383186,3.886106261100103,4.081622235778321,3.9428008801120935,3.5624746651774526
853,5.423957200385761,4.077491984107459,4.218025628695578,4.047581789010556,3.511345750767352,3.9504698831019063,4.1176806298007165,3.979347414414187,3.611564033912785
854,5.518384113843467,4.083603744843508,4.244440904076903,4.194504933297033,3.6033152564118778,3.987387034134372,4.132123588531279,4.013231666883465,3.6438886825359553
882,4.564647847752633,3.9223174406076247,3.9787145160788904,3.6020675114638134,3.2143348455261753,3.7156193799904216,3.8937076694179,3.5325370016724253,3.4415050180156985
